"Date","Price","Open","High","Low","Change %"
"09/25/2017","-0.830","-0.830","-0.830","-0.830","-8.79%"
"09/24/2017","-0.910","-0.830","-0.830","-0.910","0.00%"
"09/23/2017","-0.910","-0.910","-0.830","-0.910","8.33%"
"09/22/2017","-0.840","-0.840","-0.840","-0.840","0.00%"
"09/21/2017","-0.840","-0.840","-0.840","-0.840","2.44%"
"09/20/2017","-0.820","-0.820","-0.820","-0.820","-4.65%"
"09/19/2017","-0.860","-0.860","-0.860","-0.860","-10.42%"
"09/18/2017","-0.960","-0.960","-0.960","-0.960","0.00%"
"09/17/2017","-0.960","-0.870","-0.870","-0.960","0.00%"
"09/16/2017","-0.960","-0.960","-0.860","-0.960","11.63%"
"09/15/2017","-0.860","-0.860","-0.860","-0.860","-1.15%"
"09/14/2017","-0.870","-0.870","-0.870","-0.870","1.16%"
"09/13/2017","-0.860","-0.860","-0.860","-0.860","0.00%"
"09/12/2017","-0.860","-0.860","-0.860","-0.860","0.00%"
"09/11/2017","-0.860","-0.860","-0.860","-0.860","-10.42%"
"09/10/2017","-0.960","-0.960","-0.860","-0.960","0.00%"
"09/09/2017","-0.960","-0.960","-0.870","-0.960","11.63%"
"09/08/2017","-0.860","-0.860","-0.860","-0.860","-2.27%"
"09/07/2017","-0.880","-0.880","-0.880","-0.880","1.15%"
"09/06/2017","-0.870","-0.870","-0.870","-0.870","1.16%"
"09/05/2017","-0.860","-0.860","-0.860","-0.860","0.00%"
"09/04/2017","-0.860","-0.860","-0.860","-0.860","0.00%"
"09/03/2017","-0.860","-0.960","-0.860","-0.960","-10.42%"
"09/01/2017","-0.960","-0.960","-0.960","-0.960","11.63%"
"08/31/2017","-0.860","-0.860","-0.860","-0.860","-1.15%"
"08/30/2017","-0.870","-0.870","-0.870","-0.870","-1.14%"
"08/29/2017","-0.880","-0.880","-0.880","-0.880","1.15%"
"08/28/2017","-0.870","-0.870","-0.870","-0.870","-9.37%"
"08/27/2017","-0.960","-0.860","-0.860","-0.960","0.00%"
"08/26/2017","-0.960","-0.860","-0.860","-0.960","9.09%"
"08/25/2017","-0.880","-0.880","-0.880","-0.880","0.00%"
"08/24/2017","-0.880","-0.880","-0.880","-0.880","2.33%"
"08/23/2017","-0.860","-0.860","-0.860","-0.860","1.18%"
"08/22/2017","-0.850","-0.850","-0.850","-0.850","-1.16%"
"08/21/2017","-0.860","-0.860","-0.860","-0.860","-10.42%"
"08/20/2017","-0.960","-0.960","-0.960","-0.960","0.00%"
"08/19/2017","-0.960","-0.840","-0.840","-0.960","12.94%"
"08/18/2017","-0.850","-0.850","-0.850","-0.850","2.41%"
"08/17/2017","-0.830","-0.830","-0.830","-0.830","-3.49%"
"08/16/2017","-0.860","-0.860","-0.860","-0.860","2.38%"
"08/15/2017","-0.840","-0.840","-0.840","-0.840","3.70%"
"08/14/2017","-0.810","-0.810","-0.810","-0.810","-15.62%"
"08/12/2017","-0.960","-0.960","-0.960","-0.960","14.29%"
"08/11/2017","-0.840","-0.840","-0.840","-0.840","-1.18%"
"08/10/2017","-0.850","-0.850","-0.850","-0.850","2.41%"
"08/09/2017","-0.830","-0.830","-0.830","-0.830","1.22%"
"08/08/2017","-0.820","-0.820","-0.820","-0.820","0.00%"
"08/07/2017","-0.820","-0.820","-0.820","-0.820","-14.58%"
"08/06/2017","-0.960","-0.960","-0.960","-0.960","0.00%"
"08/05/2017","-0.960","-0.960","-0.960","-0.960","15.66%"
"08/04/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"08/03/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
"08/02/2017","-0.830","-0.830","-0.830","-0.830","-5.68%"
"08/01/2017","-0.880","-0.850","-0.740","-0.960","4.76%"
"07/31/2017","-0.840","-0.840","-0.840","-0.840","-12.50%"
"07/30/2017","-0.960","-0.960","-0.960","-0.960","15.66%"
"07/28/2017","-0.830","-0.830","-0.830","-0.830","1.22%"
"07/27/2017","-0.820","-0.820","-0.820","-0.820","-6.82%"
"07/26/2017","-0.880","-0.880","-0.880","-0.880","4.76%"
"07/25/2017","-0.840","-0.840","-0.840","-0.840","0.00%"
"07/24/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
"07/23/2017","-0.830","-0.850","-0.830","-0.850","0.00%"
"07/21/2017","-0.830","-0.830","-0.830","-0.830","0.00%"
"07/20/2017","-0.830","-0.830","-0.830","-0.830","0.00%"
"07/19/2017","-0.830","-0.830","-0.830","-0.830","-2.35%"
"07/18/2017","-0.850","-0.850","-0.850","-0.850","0.00%"
"07/17/2017","-0.850","-0.850","-0.850","-0.850","2.41%"
"07/16/2017","-0.830","-0.820","-0.820","-0.830","0.00%"
"07/14/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"07/13/2017","-0.840","-0.840","-0.840","-0.840","0.00%"
"07/12/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
"07/11/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"07/10/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
"07/07/2017","-0.830","-0.830","-0.830","-0.830","0.00%"
"07/06/2017","-0.830","-0.830","-0.830","-0.830","0.00%"
"07/05/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"07/04/2017","-0.840","-0.840","-0.840","-0.840","-1.18%"
"07/03/2017","-0.850","-0.850","-0.850","-0.850","2.41%"
"07/02/2017","-0.830","-0.860","-0.830","-0.860","-3.49%"
"07/01/2017","-0.860","-0.830","-0.830","-0.860","3.61%"
"06/30/2017","-0.830","-0.830","-0.830","-0.830","-4.60%"
"06/29/2017","-0.870","-0.870","-0.870","-0.870","4.82%"
"06/28/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"06/27/2017","-0.840","-0.840","-0.840","-0.840","-1.18%"
"06/26/2017","-0.850","-0.850","-0.850","-0.850","2.41%"
"06/25/2017","-0.830","-0.880","-0.830","-0.880","0.00%"
"06/24/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"06/23/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
"06/22/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"06/21/2017","-0.840","-0.840","-0.840","-0.840","2.44%"
"06/20/2017","-0.820","-0.820","-0.820","-0.820","-2.38%"
"06/19/2017","-0.840","-0.840","-0.840","-0.840","-3.45%"
"06/18/2017","-0.870","-0.870","-0.870","-0.870","3.57%"
"06/17/2017","-0.840","-0.850","-0.840","-0.850","-1.18%"
"06/16/2017","-0.850","-0.850","-0.850","-0.850","0.00%"
"06/15/2017","-0.850","-0.850","-0.850","-0.850","1.19%"
"06/14/2017","-0.840","-0.840","-0.840","-0.840","0.00%"
"06/13/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
"06/12/2017","-0.830","-0.830","-0.830","-0.830","-1.19%"
"06/11/2017","-0.840","-0.840","-0.840","-0.840","5.00%"
"06/10/2017","-0.800","-0.780","-0.780","-0.800","0.00%"
"06/09/2017","-0.800","-0.800","-0.800","-0.800","-1.23%"
"06/08/2017","-0.810","-0.810","-0.810","-0.810","-5.81%"
"06/07/2017","-0.860","-0.860","-0.860","-0.860","2.38%"
"06/06/2017","-0.840","-0.840","-0.840","-0.840","15.07%"
"06/05/2017","-0.730","-0.750","-0.730","-1.020","-14.12%"
"06/04/2017","-0.850","-0.850","-0.850","-0.850","1.19%"
"06/02/2017","-0.840","-0.840","-0.840","-0.840","-2.33%"
"06/01/2017","-0.860","-0.860","-0.860","-0.860","2.38%"
"05/31/2017","-0.840","-0.840","-0.840","-0.840","1.20%"
